Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Length
102,5.8,2.7,5.1,1.9,Iris-virginica,large
103,7.1,3.0,5.9,2.1,Iris-virginica,large
104,6.3,2.9,5.6,1.8,Iris-virginica,large
105,6.5,3.0,5.8,2.2,Iris-virginica,large
106,7.6,3.0,6.6,2.1,Iris-virginica,large
107,4.9,2.5,4.5,1.7,Iris-virginica,small
108,7.3,2.9,6.3,1.8,Iris-virginica,large
109,6.7,2.5,5.8,1.8,Iris-virginica,large
110,7.2,3.6,6.1,2.5,Iris-virginica,large
111,6.5,3.2,5.1,2.0,Iris-virginica,large
112,6.4,2.7,5.3,1.9,Iris-virginica,large
113,6.8,3.0,5.5,2.1,Iris-virginica,large
114,5.7,2.5,5.0,2.0,Iris-virginica,large
115,5.8,2.8,5.1,2.4,Iris-virginica,large
116,6.4,3.2,5.3,2.3,Iris-virginica,large
117,6.5,3.0,5.5,1.8,Iris-virginica,large
118,7.7,3.8,6.7,2.2,Iris-virginica,large
119,7.7,2.6,6.9,2.3,Iris-virginica,large
120,6.0,2.2,5.0,1.5,Iris-virginica,large
121,6.9,3.2,5.7,2.3,Iris-virginica,large
122,5.6,2.8,4.9,2.0,Iris-virginica,large
123,7.7,2.8,6.7,2.0,Iris-virginica,large
124,6.3,2.7,4.9,1.8,Iris-virginica,large
125,6.7,3.3,5.7,2.1,Iris-virginica,large
126,7.2,3.2,6.0,1.8,Iris-virginica,large
127,6.2,2.8,4.8,1.8,Iris-virginica,large
128,6.1,3.0,4.9,1.8,Iris-virginica,large
129,6.4,2.8,5.6,2.1,Iris-virginica,large
130,7.2,3.0,5.8,1.6,Iris-virginica,large
131,7.4,2.8,6.1,1.9,Iris-virginica,large
132,7.9,3.8,6.4,2.0,Iris-virginica,large
133,6.4,2.8,5.6,2.2,Iris-virginica,large
134,6.3,2.8,5.1,1.5,Iris-virginica,large
135,6.1,2.6,5.6,1.4,Iris-virginica,large
136,7.7,3.0,6.1,2.3,Iris-virginica,large
137,6.3,3.4,5.6,2.4,Iris-virginica,large
138,6.4,3.1,5.5,1.8,Iris-virginica,large
139,6.0,3.0,4.8,1.8,Iris-virginica,large
140,6.9,3.1,5.4,2.1,Iris-virginica,large
141,6.7,3.1,5.6,2.4,Iris-virginica,large
142,6.9,3.1,5.1,2.3,Iris-virginica,large
143,5.8,2.7,5.1,1.9,Iris-virginica,large
144,6.8,3.2,5.9,2.3,Iris-virginica,large
145,6.7,3.3,5.7,2.5,Iris-virginica,large
146,6.7,3.0,5.2,2.3,Iris-virginica,large
147,6.3,2.5,5.0,1.9,Iris-virginica,large
148,6.5,3.0,5.2,2.0,Iris-virginica,large
149,6.2,3.4,5.4,2.3,Iris-virginica,large
150,5.9,3.0,5.1,1.8,Iris-virginica,large
